Season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
2000,1,Manchester United,38,24,8,6,79,31,48,80,Qualification for the Champions League first group stage
2001,1,Arsenal,38,26,9,3,79,36,43,87,Qualification for the Champions League first group stage
2002,1,Manchester United,38,25,8,5,74,34,40,83,Qualification for the Champions League group stage
2003,1,Arsenal,38,26,12,0,73,26,47,90,Qualification for the Champions League group stage
2004,1,Chelsea,38,29,8,1,72,15,57,95,Qualification for the Champions League group stage
2005,1,Chelsea,38,29,4,5,72,22,50,91,Qualification for the Champions League group stage[a]
2006,1,Manchester United,38,28,5,5,83,27,56,89,Qualification for the Champions League group stage
2007,1,Manchester United,38,27,6,5,80,22,58,87,Qualification for the Champions League group stage
2008,1,Manchester United,38,28,6,4,68,24,44,90,Qualification for the Champions League group stage[a]
2009,1,Chelsea,38,27,5,6,103,32,71,86,Qualification for the Champions League group stage
2010,1,Manchester United,38,23,11,4,78,37,41,80,Qualification for the Champions League group stage
2011,1,Manchester City,38,28,5,5,93,29,64,89,Qualification for the Champions League group stage
2012,1,Manchester United,38,28,5,5,86,43,43,89,Qualification for the Champions League group stage[a]
2013,1,Manchester City,38,27,5,6,102,37,65,86,Qualification for the Champions League group stage
2014,1,Chelsea,38,26,9,3,73,32,41,87,Qualification for the Champions League group stage
2015,1,Leicester City,38,23,12,3,68,36,32,81,Qualification for the Champions League group stage
2016,1,Chelsea,38,30,3,5,85,33,52,93,Qualification for the Champions League group stage
2017,1,Manchester City,38,32,4,2,106,27,79,100,Qualification for the Champions League group stage
2018,1,Manchester City,38,32,2,4,95,23,72,98,Qualification for the Champions League group stage
2019,1,Liverpool,38,32,3,3,85,33,52,99,Qualification for the Champions League group stage
2020,1,Manchester City,38,27,5,6,83,32,51,86,Qualification for the Champions League group stage
2021,1,Manchester City,38,29,6,3,99,26,73,93,Qualification for the Champions League group stage
